n,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,learner,seed,stop_quantile,round
13,0.5384615384615384,0.0,1.0,0.46153846153846156,0.6832568998690047,0.6476748241837728,-0.03558207568523197,0.25537359275098326,0.07224969888995861,0.12909991042013624,-0.03296703296703297,oracle_all_endpoints,2,0.4,3
13,0.46153846153846156,0.0,1.0,0.5384615384615384,0.6832568998690047,0.6508749215909033,-0.03238197827810141,0.25537359275098326,0.05594691416915957,0.11740911472049353,-0.027472527472527472,completed_only,2,0.4,3
13,0.5384615384615384,0.0,1.0,0.46153846153846156,0.6832568998690047,0.6468223159992533,-0.0364345838697514,0.25537359275098326,0.06647124800782067,0.12362952036444474,0.11538461538461539,static_initial,2,0.4,3
8,0.125,1.0,0.0,0.875,0.7393931611497171,0.7474898704166926,0.008096709266975477,0.0,0.07461699581942137,0.10254291809154989,0.28571428571428575,oracle_all_endpoints,3,0.2,1
8,0.125,1.0,0.0,0.875,0.7393931611497171,0.7474898704166926,0.008096709266975477,0.0,0.0652158085187393,0.10031548862647484,0.4047619047619048,completed_only,3,0.2,1
8,0.25,0.6666666666666667,0.3333333333333333,0.75,0.7393931611497171,0.7561314879989546,0.016738326849237484,0.0,0.07538813091120299,0.10356969364768101,0.261904761904762,static_initial,3,0.2,1
12,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6569558781171102,0.6496767954585496,-0.007279082658560587,0.059287895245059286,0.04062756898550084,0.07845002911475718,0.39860139860139865,oracle_all_endpoints,3,0.2,2
12,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6569558781171102,0.6496767954585496,-0.007279082658560587,0.059287895245059286,0.038070339911002664,0.07853090469753157,0.49650349650349657,completed_only,3,0.2,2
12,0.08333333333333333,0.5,0.5,0.9166666666666666,0.6569558781171102,0.6482461345390687,-0.008709743578041551,0.059287895245059286,0.041867117187719426,0.08030056151199785,0.3846153846153847,static_initial,3,0.2,2
8,0.25,,,0.75,0.651404878848853,0.6471778683435573,-0.004227010505295725,0.0,0.04803931893112949,0.07407308165232343,-0.14285714285714288,oracle_all_endpoints,3,0.2,3
8,0.625,,,0.375,0.651404878848853,0.6759512086255378,0.024546329776684805,0.0,0.049475867902743983,0.07045373042829621,0.04761904761904763,completed_only,3,0.2,3
8,0.125,,,0.875,0.651404878848853,0.6473396317876151,-0.004065247061237898,0.0,0.038744206003685486,0.06438028644679698,-0.28571428571428575,static_initial,3,0.2,3
9,0.4444444444444444,1.0,0.0,0.5555555555555556,0.6589820490105328,0.6997284148462126,0.04074636583567981,0.0,0.05374338480082716,0.0777776287101155,0.7999999999999999,oracle_all_endpoints,3,0.2,4
9,0.4444444444444444,1.0,0.0,0.5555555555555556,0.6589820490105328,0.6997284148462126,0.04074636583567981,0.0,0.04231145918524965,0.06364445675633139,0.8333333333333333,completed_only,3,0.2,4
9,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6589820490105328,0.6942314192167318,0.035249370206199004,0.0,0.03351859805186581,0.06012908979591559,0.8333333333333333,static_initial,3,0.2,4
7,0.0,1.0,0.0,1.0,0.6931743934020324,0.6931743934020324,0.0,0.0,0.05639631726664666,0.10452400566140628,0.42857142857142866,oracle_all_endpoints,3,0.2,5
7,0.0,1.0,0.0,1.0,0.6931743934020324,0.6931743934020324,0.0,0.0,0.060125712811629865,0.10747261768333691,0.42857142857142866,completed_only,3,0.2,5
7,0.14285714285714285,1.0,0.0,0.8571428571428571,0.6931743934020324,0.6951728406855594,0.0019984472835270495,0.0,0.07396639668058302,0.10339459374293004,0.5714285714285715,static_initial,3,0.2,5
8,0.375,0.6666666666666667,0.3333333333333333,0.625,0.7393931611497171,0.7711964477047235,0.031803286555006416,0.0,0.07461699581942137,0.10254291809154989,0.28571428571428575,oracle_all_endpoints,3,0.3,1
8,0.125,1.0,0.0,0.875,0.7393931611497171,0.7474898704166926,0.008096709266975477,0.0,0.0652158085187393,0.10031548862647484,0.4047619047619048,completed_only,3,0.3,1
8,0.25,0.6666666666666667,0.3333333333333333,0.75,0.7393931611497171,0.7561314879989546,0.016738326849237484,0.0,0.07538813091120299,0.10356969364768101,0.261904761904762,static_initial,3,0.3,1
12,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6569558781171102,0.6496767954585496,-0.007279082658560587,0.059287895245059286,0.04062756898550084,0.07845002911475718,0.39860139860139865,oracle_all_endpoints,3,0.3,2
12,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6569558781171102,0.6496767954585496,-0.007279082658560587,0.059287895245059286,0.038070339911002664,0.07853090469753157,0.49650349650349657,completed_only,3,0.3,2
12,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6569558781171102,0.6496767954585496,-0.007279082658560587,0.059287895245059286,0.041867117187719426,0.08030056151199785,0.3846153846153847,static_initial,3,0.3,2
8,0.25,,,0.75,0.651404878848853,0.6471778683435573,-0.004227010505295725,0.0,0.04803931893112949,0.07407308165232343,-0.14285714285714288,oracle_all_endpoints,3,0.3,3
8,0.625,,,0.375,0.651404878848853,0.6759512086255378,0.024546329776684805,0.0,0.049475867902743983,0.07045373042829621,0.04761904761904763,completed_only,3,0.3,3
8,0.125,,,0.875,0.651404878848853,0.6473396317876151,-0.004065247061237898,0.0,0.038744206003685486,0.06438028644679698,-0.28571428571428575,static_initial,3,0.3,3
9,0.4444444444444444,1.0,0.0,0.5555555555555556,0.6589820490105328,0.6997284148462126,0.04074636583567981,0.0,0.05374338480082716,0.0777776287101155,0.7999999999999999,oracle_all_endpoints,3,0.3,4
9,0.4444444444444444,1.0,0.0,0.5555555555555556,0.6589820490105328,0.6997284148462126,0.04074636583567981,0.0,0.04231145918524965,0.06364445675633139,0.8333333333333333,completed_only,3,0.3,4
9,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6589820490105328,0.6942314192167318,0.035249370206199004,0.0,0.03351859805186581,0.06012908979591559,0.8333333333333333,static_initial,3,0.3,4
7,0.0,1.0,0.0,1.0,0.6931743934020324,0.6931743934020324,0.0,0.0,0.05639631726664666,0.10452400566140628,0.42857142857142866,oracle_all_endpoints,3,0.3,5
