n,n_valuable,n_false_stops,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,seed,stop_quantile,learner
44,1,0,0.06818181818181818,1.0,0.0,0.9318181818181818,0.666978193476638,0.6661023466695517,-0.0008758468070863001,0.0,0.04899622034700684,0.06926502377406397,0.24766710163580655,1,0.4,completed_only
44,1,0,0.09090909090909091,1.0,0.0,0.9090909090909091,0.666978193476638,0.6675582094127354,0.0005800159360973556,0.0,0.048748258519987916,0.06936251438519846,0.3351315195107941,1,0.4,oracle_all_endpoints
44,1,0,0.0,1.0,0.0,1.0,0.666978193476638,0.666978193476638,0.0,0.0,0.041957939899449695,0.06067530306545707,,1,0.4,static_initial
44,1,1,0.09090909090909091,0.0,1.0,0.9090909090909091,0.666978193476638,0.6639358288994013,-0.0030423645772367225,0.024810649414197083,0.04899622034700684,0.06926502377406397,0.24766710163580655,1,0.45,completed_only
44,1,0,0.09090909090909091,1.0,0.0,0.9090909090909091,0.666978193476638,0.6675582094127354,0.0005800159360973556,0.0,0.048748258519987916,0.06936251438519846,0.3351315195107941,1,0.45,oracle_all_endpoints
44,1,0,0.0,1.0,0.0,1.0,0.666978193476638,0.666978193476638,0.0,0.0,0.041957939899449695,0.06067530306545707,,1,0.45,static_initial
44,1,0,0.11363636363636363,1.0,0.0,0.8863636363636364,0.666978193476638,0.6672659842825123,0.0002877908058742662,0.0,0.04847513250845818,0.06885318105733582,0.2565920422352951,1,0.5,completed_only
44,1,0,0.11363636363636363,1.0,0.0,0.8863636363636364,0.666978193476638,0.6672659842825123,0.0002877908058742662,0.0,0.048748258519987916,0.06936251438519846,0.3351315195107941,1,0.5,oracle_all_endpoints
44,1,0,0.0,1.0,0.0,1.0,0.666978193476638,0.666978193476638,0.0,0.0,0.041957939899449695,0.06067530306545707,,1,0.5,static_initial
44,1,0,0.11363636363636363,1.0,0.0,0.8863636363636364,0.666978193476638,0.6672659842825123,0.0002877908058742662,0.0,0.04847513250845818,0.06885318105733582,0.2565920422352951,1,0.55,completed_only
44,1,0,0.11363636363636363,1.0,0.0,0.8863636363636364,0.666978193476638,0.6672659842825123,0.0002877908058742662,0.0,0.048748258519987916,0.06936251438519846,0.3351315195107941,1,0.55,oracle_all_endpoints
44,1,0,0.0,1.0,0.0,1.0,0.666978193476638,0.666978193476638,0.0,0.0,0.041957939899449695,0.06067530306545707,,1,0.55,static_initial
44,1,0,0.11363636363636363,1.0,0.0,0.8863636363636364,0.666978193476638,0.6672659842825123,0.0002877908058742662,0.0,0.04847513250845818,0.06885318105733582,0.2565920422352951,1,0.6,completed_only
44,1,0,0.11363636363636363,1.0,0.0,0.8863636363636364,0.666978193476638,0.6672659842825123,0.0002877908058742662,0.0,0.048748258519987916,0.06936251438519846,0.3351315195107941,1,0.6,oracle_all_endpoints
44,1,0,0.0,1.0,0.0,1.0,0.666978193476638,0.666978193476638,0.0,0.0,0.041957939899449695,0.06067530306545707,,1,0.6,static_initial
39,1,0,0.05128205128205128,1.0,0.0,0.9487179487179487,0.6682147334461804,0.6752227240340309,0.00700799058785051,0.0,0.046824478357192716,0.0799505189813276,0.056378559846385644,2,0.1,completed_only
39,1,0,0.05128205128205128,1.0,0.0,0.9487179487179487,0.6682147334461804,0.6752227240340309,0.00700799058785051,0.0,0.0470663673858446,0.08030034952814558,0.03975274635671427,2,0.1,oracle_all_endpoints
39,1,0,0.0,1.0,0.0,1.0,0.6682147334461804,0.6682147334461804,0.0,0.0,0.04513429185724984,0.07807380207628917,,2,0.1,static_initial
39,1,0,0.10256410256410256,1.0,0.0,0.8974358974358975,0.6682147334461804,0.675590433877873,0.007375700431692556,0.0,0.046824478357192716,0.0799505189813276,0.056378559846385644,2,0.15,completed_only
39,1,0,0.10256410256410256,1.0,0.0,0.8974358974358975,0.6682147334461804,0.675590433877873,0.007375700431692556,0.0,0.0470663673858446,0.08030034952814558,0.03975274635671427,2,0.15,oracle_all_endpoints
39,1,0,0.0,1.0,0.0,1.0,0.6682147334461804,0.6682147334461804,0.0,0.0,0.04513429185724984,0.07807380207628917,,2,0.15,static_initial
