seed,stop_quantile,oracle_valuable_run_recall,completed_only_valuable_run_recall,delta_valuable_run_recall,oracle_valuable_false_stop_rate,completed_only_valuable_false_stop_rate,delta_valuable_false_stop_rate,oracle_stop_rate,completed_only_stop_rate,delta_stop_rate,oracle_endpoint_observation_rate,completed_only_endpoint_observation_rate,delta_endpoint_observation_rate,oracle_endpoint_selection_bias,completed_only_endpoint_selection_bias,delta_endpoint_selection_bias,oracle_simple_regret_batch,completed_only_simple_regret_batch,delta_simple_regret_batch,oracle_mae,completed_only_mae,delta_mae,oracle_rmse,completed_only_rmse,delta_rmse,oracle_spearman,completed_only_spearman,delta_spearman
1,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.06818181818181818,0.0,0.9318181818181818,0.9318181818181818,0.0,-0.0008758468070863001,-0.0008758468070863001,0.0,0.0,0.0,0.0,0.048748258519987916,0.04899622034700684,0.0002479618270189235,0.06936251438519846,0.06926502377406397,-9.749061113448199e-05,0.3351315195107941,0.24766710163580655,-0.08746441787498757
1,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.06818181818181818,-0.022727272727272735,0.9090909090909091,0.9318181818181818,0.022727272727272707,0.0005800159360973556,-0.0008758468070863001,-0.0014558627431836557,0.0,0.0,0.0,0.048748258519987916,0.04899622034700684,0.0002479618270189235,0.06936251438519846,0.06926502377406397,-9.749061113448199e-05,0.3351315195107941,0.24766710163580655,-0.08746441787498757
1,0.35,1.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.06818181818181818,-0.022727272727272735,0.9090909090909091,0.9318181818181818,0.022727272727272707,0.0005800159360973556,-0.0008758468070863001,-0.0014558627431836557,0.0,0.0,0.0,0.048748258519987916,0.04899622034700684,0.0002479618270189235,0.06936251438519846,0.06926502377406397,-9.749061113448199e-05,0.3351315195107941,0.24766710163580655,-0.08746441787498757
1,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.06818181818181818,-0.022727272727272735,0.9090909090909091,0.9318181818181818,0.022727272727272707,0.0005800159360973556,-0.0008758468070863001,-0.0014558627431836557,0.0,0.0,0.0,0.048748258519987916,0.04899622034700684,0.0002479618270189235,0.06936251438519846,0.06926502377406397,-9.749061113448199e-05,0.3351315195107941,0.24766710163580655,-0.08746441787498757
1,0.45,1.0,0.0,-1.0,0.0,1.0,1.0,0.09090909090909091,0.09090909090909091,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0005800159360973556,-0.0030423645772367225,-0.003622380513334078,0.0,0.024810649414197083,0.024810649414197083,0.048748258519987916,0.04899622034700684,0.0002479618270189235,0.06936251438519846,0.06926502377406397,-9.749061113448199e-05,0.3351315195107941,0.24766710163580655,-0.08746441787498757
1,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.11363636363636363,0.0,0.8863636363636364,0.8863636363636364,0.0,0.0002877908058742662,0.0002877908058742662,0.0,0.0,0.0,0.0,0.048748258519987916,0.04847513250845818,-0.00027312601152973404,0.06936251438519846,0.06885318105733582,-0.0005093333278626405,0.3351315195107941,0.2565920422352951,-0.07853947727549904
1,0.55,1.0,1.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.11363636363636363,0.0,0.8863636363636364,0.8863636363636364,0.0,0.0002877908058742662,0.0002877908058742662,0.0,0.0,0.0,0.0,0.048748258519987916,0.04847513250845818,-0.00027312601152973404,0.06936251438519846,0.06885318105733582,-0.0005093333278626405,0.3351315195107941,0.2565920422352951,-0.07853947727549904
1,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.11363636363636363,0.0,0.8863636363636364,0.8863636363636364,0.0,0.0002877908058742662,0.0002877908058742662,0.0,0.0,0.0,0.0,0.048748258519987916,0.04847513250845818,-0.00027312601152973404,0.06936251438519846,0.06885318105733582,-0.0005093333278626405,0.3351315195107941,0.2565920422352951,-0.07853947727549904
2,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,0.9487179487179487,0.9487179487179487,0.0,0.00700799058785051,0.00700799058785051,0.0,0.0,0.0,0.0,0.0470663673858446,0.046824478357192716,-0.00024188902865188155,0.08030034952814558,0.0799505189813276,-0.0003498305468179752,0.03975274635671427,0.056378559846385644,0.016625813489671376
2,0.15,1.0,1.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.0,0.8974358974358975,0.8974358974358975,0.0,0.007375700431692556,0.007375700431692556,0.0,0.0,0.0,0.0,0.0470663673858446,0.046824478357192716,-0.00024188902865188155,0.08030034952814558,0.0799505189813276,-0.0003498305468179752,0.03975274635671427,0.056378559846385644,0.016625813489671376
2,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.1794871794871795,0.20512820512820512,0.025641025641025633,0.8205128205128205,0.7948717948717948,-0.02564102564102566,0.007322781439041526,0.007600204977552316,0.0002774235385107904,0.0,0.0,0.0,0.0470663673858446,0.047291978252381225,0.00022561086653662826,0.08030034952814558,0.08060038834587141,0.00030003881772583396,0.03975274635671427,0.12799744872497007,0.0882447023682558
2,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.1794871794871795,0.23076923076923078,0.051282051282051294,0.8205128205128205,0.7692307692307693,-0.05128205128205121,0.007322781439041526,0.0077915193905536695,0.0004687379515121437,0.0,0.0,0.0,0.0470663673858446,0.047291978252381225,0.00022561086653662826,0.08030034952814558,0.08060038834587141,0.00030003881772583396,0.03975274635671427,0.12799744872497007,0.0882447023682558
2,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.23076923076923078,0.02564102564102566,0.7948717948717948,0.7692307692307693,-0.02564102564102555,0.007600204977552316,0.0077915193905536695,0.00019131441300135332,0.0,0.0,0.0,0.0470663673858446,0.047291978252381225,0.00022561086653662826,0.08030034952814558,0.08060038834587141,0.00030003881772583396,0.03975274635671427,0.12799744872497007,0.0882447023682558
2,0.35,1.0,1.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.28205128205128205,0.051282051282051266,0.7692307692307693,0.717948717948718,-0.05128205128205132,0.007421245934980947,0.007635742277403601,0.00021449634242265425,0.0,0.0,0.0,0.0470663673858446,0.04723429151235027,0.00016792412650567384,0.08030034952814558,0.07998726221487096,-0.00031308731327461814,0.03975274635671427,0.0896301868257284,0.049877440469014135
2,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.28205128205128205,0.051282051282051266,0.7692307692307693,0.717948717948718,-0.05128205128205132,0.007421245934980947,0.007635742277403601,0.00021449634242265425,0.0,0.0,0.0,0.0470663673858446,0.04723429151235027,0.00016792412650567384,0.08030034952814558,0.07998726221487096,-0.00031308731327461814,0.03975274635671427,0.0896301868257284,0.049877440469014135
2,0.45,1.0,1.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.28205128205128205,0.051282051282051266,0.7692307692307693,0.717948717948718,-0.05128205128205132,0.007421245934980947,0.007635742277403601,0.00021449634242265425,0.0,0.0,0.0,0.0470663673858446,0.04723429151235027,0.00016792412650567384,0.08030034952814558,0.07998726221487096,-0.00031308731327461814,0.03975274635671427,0.0896301868257284,0.049877440469014135
2,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.28205128205128205,0.051282051282051266,0.7692307692307693,0.717948717948718,-0.05128205128205132,0.007421245934980947,0.007635742277403601,0.00021449634242265425,0.0,0.0,0.0,0.0470663673858446,0.04723429151235027,0.00016792412650567384,0.08030034952814558,0.07998726221487096,-0.00031308731327461814,0.03975274635671427,0.0896301868257284,0.049877440469014135
2,0.55,0.0,1.0,1.0,1.0,0.0,-1.0,0.2564102564102564,0.28205128205128205,0.02564102564102566,0.7435897435897436,0.717948717948718,-0.02564102564102566,-0.0029392720167102926,0.007635742277403601,0.010575014294113894,0.25537359275098326,0.0,-0.25537359275098326,0.0470663673858446,0.04723429151235027,0.00016792412650567384,0.08030034952814558,0.07998726221487096,-0.00031308731327461814,0.03975274635671427,0.0896301868257284,0.049877440469014135
